filename,title,author,date,age_years,status,reasoning,technologies_str,deprecated_services_str,deprecated_versions_str,recommendations_str,content_length,has_images,has_code_blocks
2016-12-28-install-ioncube-loader-extension-for-php-site-on-azure-app.md,Install ionCube Loader extension for PHP site on Azure App,Yi Wang,2016-12-28,8.7,outdated,"Post is 8.7 years old, likely contains outdated information; References deprecated technology versions: php 5.",how-to; php; azure app service on windows,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1231,True,False
2017-01-09-steps-to-enable-xdebug-for-php-profiling.md, Steps to Enable Xdebug for PHP Profiling,Yi Wang,2017-01-09,8.7,outdated,"Post is 8.7 years old, likely contains outdated information; References deprecated Azure services: Web Sites; References deprecated technology versions: php 5.",how-to; dotnet; xdebug; azure app service on windows; debugging; php,Web Sites,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update references from 'Web Sites' to 'Azure App Service'; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2087,True,False
2017-03-03-how-to-enable-php-ldap-in-azure-web-apps.md,How to enable PHP LDAP in Azure Web Apps,Edison,2017-03-03,8.5,outdated,"Post is 8.5 years old, likely contains outdated information; References deprecated technology versions: php 5.",how-to; dotnet; azure app service on windows; ldap; php,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1564,True,False
2017-03-07-increase-import-max-file-size-for-phpmyadmin-azure-app-service.md,Increase Import Max File Size for PHPMyAdmin - Azure App Service on Windows,Toan Nguyen,2017-03-07,8.5,outdated,"Post is 8.5 years old, likely contains outdated information",azure app service web app; configuration; dotnet; azure app service on windows; phpmyadmin; mysql; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1696,True,False
2017-03-27-send-mail-on-app-service-using-php-mailer-and-o365.md, Send email on App Service using Office 365 (O365),Mangesh Sangapu,2017-03-27,8.4,outdated,"Post is 8.4 years old, likely contains outdated information; References deprecated technology versions: php 5.",mail; how-to; azure app service web app; office; php; java,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3423,True,False
2017-04-20-an-example-of-setting-wordpress-email-with-office-365-smtp.md, An Example of Setting WordPress Email with Office 365 SMTP,Yi Wang,2017-04-20,8.4,outdated,"Post is 8.4 years old, likely contains outdated information",mail; how-to; wordpress; azure app service web app; smtp; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,284,True,False
2017-04-26-capture-java-vm-traffic-using-fiddler.md, Capture Java VM Traffic using Fiddler,Toan Nguyen,2017-04-26,8.4,outdated,"Post is 8.4 years old, likely contains outdated information; References deprecated technology versions: java 8",dotnet; how-to; azure sdk; java,,java 8,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 8 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4540,True,False
2017-04-28-wordpress-migration-easy-as-a-b-c-1-2-3.md," WordPress Migration: Easy as A-B-C, 1-2-3",Mangesh Sangapu,2017-04-28,8.4,outdated,"Post is 8.4 years old, likely contains outdated information",how-to; wordpress; azure app service web app; dotnet; migration; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1826,True,False
2017-05-09-azure-app-service-java-cicd-with-maven.md, Azure App Service Java CI/CD with Maven,Prasad K.,2017-05-09,8.3,outdated,"Post is 8.3 years old, likely contains outdated information",azure app service web app; dotnet; azure app service on windows; maven; deployment; java,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1155,False,False
2017-05-26-first-steps-with-bitnami-wordpress-in-azure-vm.md, First steps with Bitnami WordPress in Azure VM,Edison,2017-05-26,8.3,outdated,"Post is 8.3 years old, likely contains outdated information; References deprecated technology versions: php 5., php 7.0",how-to; wordpress; azure vm; bitnami; php,,php 5.; php 7.0,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Consider updating php 7.0 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4105,True,False
2017-06-19-http-to-https-redirect-for-azure-web-app-on-linux.md, Redirect HTTP to HTTPS from .htaccess for Azure Web App on Linux on Apache,Yi Wang,2017-06-19,8.2,outdated,"Post is 8.2 years old, likely contains outdated information",azure app service web app; configuration; azure app service on linux; .htaccess; apache; web app on linux,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,705,False,False
2017-06-21-migrate-wordpress-content-to-azure-blob-storage.md, Migrate WordPress content to Azure blob storage,Yi Wang,2017-06-21,8.2,outdated,"Post is 8.2 years old, likely contains outdated information",wordpress; blob storage; dotnet; performance; azure app service on windows; php; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2582,True,False
2017-08-04-http-to-https-redirect-for-wordpress-on-azure-web-app-on-linux.md, HTTP to HTTPS redirect for WordPress on Azure Web App on Linux,Yi Wang,2017-08-04,8.1,outdated,"Post is 8.1 years old, likely contains outdated information",wordpress; configuration; azure app service on linux; https; wordpress on linux; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,669,True,False
2017-08-21-enable-php-extensions-on-azure-web-app-on-windows.md, Enable PHP extensions on Azure Web App on Windows,Yi Wang,2017-08-21,8.0,outdated,"Post is 8.0 years old, likely contains outdated information",php; configuration; azure app service on windows,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1163,False,False
2017-09-01-django-app-with-httpplatformhandler-in-azure-app-services-windows.md, Django app with HttpPlatformHandler in Azure App Services (Windows),Prashanth Madi,2017-09-01,8.0,outdated,"Post is 8.0 years old, likely contains outdated information; References deprecated technology versions: python 2.7",python; configuration; django; azure app service on windows; nodejs,,python 2.7,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating python 2.7 to 3.12; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,8643,True,False
2017-09-01-nodejs-app-performance-tweaks-azure-app-services-windows.md,Nodejs App Performance Tweaks - Azure App Services (Windows),Prashanth Madi,2017-09-01,8.0,outdated,"Post is 8.0 years old, likely contains outdated information; References deprecated technology versions: java 8",nodejs; performance; azure app service on windows,,java 8,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 8 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3849,True,False
2017-09-01-profile-python-applications-in-azure-app-services.md, Profile Python Applications in Azure App Services,Prashanth Madi,2017-09-01,8.0,outdated,"Post is 8.0 years old, likely contains outdated information",python; django; dotnet; debugging; azure app service; flask,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5781,False,False
2017-09-01-running-flask-app-with-httpplatformhandler-in-azure-app-serviceswindows.md, Running Flask App with HttpPlatformHandler in Azure App Services(Windows),Prashanth Madi,2017-09-01,8.0,outdated,"Post is 8.0 years old, likely contains outdated information; References deprecated technology versions: python 2.7, python 3.5",python; flask; configuration; azure app service on windows; nodejs,,python 2.7; python 3.5,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating python 2.7 to 3.12; Consider updating python 3.5 to 3.12; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5663,False,False
2017-09-14-use-jpgrapg-package-with-azure-web-app.md, Use JpGraph library with Azure Web App,Yi Wang,2017-09-14,8.0,outdated,"Post is 8.0 years old, likely contains outdated information; References deprecated technology versions: php 7.0",how-to; dotnet; azure app service on windows; jpgraph; php,,php 7.0,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 7.0 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,881,True,False
2017-09-26-debugging-java-containers.md, Debugging Java containers,Prasad K.,2017-09-26,7.9,outdated,"Post is 7.9 years old, likely contains outdated information",azure app service on linux; debugging; java; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1090,True,False
2017-10-09-setup-smtp-in-drupal-8-on-azure-webapp.md,Setup SMTP in Drupal 8 on Azure Webapp,Yi Wang,2017-10-09,7.9,outdated,"Post is 7.9 years old, likely contains outdated information",how-to; azure app service on windows; smtp; drupal; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1063,True,False
2017-10-27-run-php-webjob-on-azure-app-service-windows.md, Run PHP Webjob on Azure App Service (Windows),Yi Wang,2017-10-27,7.9,outdated,"Post is 7.9 years old, likely contains outdated information; References deprecated technology versions: php 7.1",how-to; azure app service on windows; webjob; php; docker,,php 7.1,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 7.1 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2112,True,False
2018-02-22-adding-ssh-support-to-asp-net-core-docker-container-created-in-visual-studio-2017.md,Adding SSH support to Asp.Net Core Docker Container created in Visual Studio 2017,kamil.sykora,2018-02-22,7.5,outdated,"Post is 7.5 years old, likely contains outdated information",how-to; azure app service web app; .net core; app service; dotnet; azure webapp; linux; container; web app for containers; azure; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3463,True,False
2018-03-09-change-php-ini-system-configuration-settings.md, Change PHP_INI_SYSTEM configuration settings,Yi Wang,2018-03-09,7.5,outdated,"Post is 7.5 years old, likely contains outdated information",dotnet; php; configuration; azure app service on windows,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,941,False,False
2018-05-22-configure-wordpress-database-connection-on-azure-app-services.md,Configure WordPress Database Connection on Azure App Services,Yi Wang,2018-05-22,7.3,outdated,"Post is 7.3 years old, likely contains outdated information",wordpress; configuration; azure app service on linux; mysql; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2546,True,False
2018-08-03-debugging-node-js-apps-on-azure-app-services.md, Debugging Node.js apps on Azure App Services,krvillia,2018-08-03,7.1,outdated,"Post is 7.1 years old, likely contains outdated information",dotnet; debugging; azure app service web app; nodejs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3722,True,False
2018-08-30-configuring-node-js-application-on-azure-app-service-with-azure-blob-storage.md,Configuring node.js application on Azure App Service with Azure Blob Storage,krvillia,2018-08-30,7.0,outdated,"Post is 7.0 years old, likely contains outdated information",azure app service web app; nodejs; configuration; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2135,True,False
2018-08-30-debugging-node-js-applications-on-azure-app-services-linux-containers.md,Debugging Node.js applications on Azure App Services Linux/containers,krvillia,2018-08-30,7.0,outdated,"Post is 7.0 years old, likely contains outdated information",azure app service on linux; dotnet; debugging; nodejs; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3569,True,False
2018-09-25-how-to-set-node-version-for-windows-node-js-webapp-from-azure-portal.md,How to set node version for Windows node.js webapp from Azure Portal,milindvb,2018-09-25,6.9,outdated,"Post is 6.9 years old, likely contains outdated information",dotnet; nodejs; configuration; azure app service on windows,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2003,True,False
2018-09-27-how-to-change-memory-limit-on-wordpress-web-app-for-linux-on-azure.md,How to change memory_limit on Wordpress Web App for Linux on Azure,bledwards1,2018-09-27,6.9,outdated,"Post is 6.9 years old, likely contains outdated information",azure linux web app; wordpress on linux; configuration; azure app service on linux; azure memory_limit change; php ini change azure web apps linux; azure linux php ini; azure linux web app php settings; php; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1436,True,False
2018-10-01-web-config-sample-for-wordpress-nested-in-subdirectory.md, RewriteRule sample for WordPress in subdirectory,Yi Wang,2018-10-01,6.9,outdated,"Post is 6.9 years old, likely contains outdated information",wordpress; configuration; web.config; .htaccess; azure app service on windows; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1886,True,False
2018-10-12-restrict-access-to-login-for-the-wordpress-running-on-azure-web-app-container.md,Restrict access to login for the WordPress running on Azure web app container,Yi Wang,2018-10-12,6.9,outdated,"Post is 6.9 years old, likely contains outdated information",wordpress; azure app service web app; configuration; .htaccess; ip restrict; wordpress on linux; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,700,True,False
2018-10-31-building-python-functions-app-that-use-native-modules-custom-docker.md,Building Python Functions App that use Native Modules – Custom Docker,chmald,2018-10-31,6.8,outdated,"Post is 6.8 years old, likely contains outdated information; References deprecated technology versions: python 3.6",azure function app; azure linux web app; python; python functions app; functions app; nodejs; docker,,python 3.6,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating python 3.6 to 3.12; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5657,True,False
2019-01-29-azure-app-service-linux-adding-php-extensions.md,Azure App Service Linux - Adding PHP Extensions,Toan Nguyen,2019-01-29,6.6,outdated,"Post is 6.6 years old, likely contains outdated information; References deprecated technology versions: php 5.",configuration; azure app service on linux; dotnet; php; docker,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5708,False,False
2019-01-29-azure-app-service-linux-update-php-settings.md, Azure App Service Linux - Update PHP Settings,Toan Nguyen,2019-01-29,6.6,outdated,"Post is 6.6 years old, likely contains outdated information; References deprecated technology versions: php 5.",configuration; azure app service on linux; dotnet; php; docker,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3120,False,False
2019-02-02-how-to-send-emails-through-azure-web-apps-using-google-gmail.md,How to send emails through Azure Web Apps using Google / Gmail,bledwards1,2019-02-02,6.6,outdated,"Post is 6.6 years old, likely contains outdated information",azure web app email send; azure app service web app; email; c#; azure web apps send email gmail; c# mailkit; azure web apps gmail,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2215,True,False
2020-01-23-custom-startup-for-nodejs-python.md, Azure App Service Linux - Custom Startup Script for Nodejs & Python,Toan Nguyen,2020-01-23,5.6,outdated,"Post is 5.6 years old, likely contains outdated information",how-to; python; configuration; azure app service on linux; dotnet; nodejs; php; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1421,False,True
2020-01-23-php-custom-startup-script-app-service-linux.md, Azure App Service Linux - PHP Custom Startup Script,Toan Nguyen,2020-01-23,5.6,outdated,"Post is 5.6 years old, likely contains outdated information; References deprecated technology versions: php 7.0",how-to; configuration; azure app service on linux; dotnet; php; docker,,php 7.0,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 7.0 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,8132,False,True
2020-01-24-enable-xdebug-app-service-linux.md, Azure App Service Linux - Enable XDebug for PHP,Toan Nguyen,2020-01-24,5.6,outdated,"Post is 5.6 years old, likely contains outdated information",how-to; configuration; azure app service on linux; debugging; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,246,False,False
2020-01-29-deploy-azure-java-function-app-windows-via-github-actions.md,Deploy Azure Java Function App (Windows) via GitHub Actions,Gaurav Kumar,2020-01-29,5.6,outdated,"Post is 5.6 years old, likely contains outdated information; References deprecated technology versions: java 8",azure function app; how-to; java,,java 8,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 8 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4189,False,True
2020-02-10-xgboost-library-could-not-be-loaded.md, Azure App Service Linux - Python - XGBoost Library (libxgboost.so) Could Not Be Loaded,Toan Nguyen,2020-02-10,5.6,outdated,"Post is 5.6 years old, likely contains outdated information; References deprecated technology versions: python 3.7",how-to; python; configuration; azure app service on linux; nodejs,,python 3.7,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating python 3.7 to 3.12; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1553,False,True
2020-02-11-configuring-ssl-certificates-with-nodejs.md,Configuring SSL Certificates with nodejs,Edison Garcia,2020-02-11,5.6,outdated,"Post is 5.6 years old, likely contains outdated information",how-to; configuration; express; azure vm; nodejs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3073,True,True
2020-02-18-IIS Node-versions-for-handling-requests-to-Node-Applications.md,Using specific IIS Node versions for handling requests to Node Applications - App Services (Windows),Anand Anthony Francis,2020-02-18,5.5,outdated,"Post is 5.5 years old, likely contains outdated information",node.js; iisnode version; configuration; how to; azure app service on windows; iisnode; nodejs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3817,True,True
2020-03-06-java-managed-identity-access-keyvault.md,Azure webapp access Keyvault secrets with Java and Managed Services Identity,Milind Belhe,2020-03-06,5.5,outdated,"Post is 5.5 years old, likely contains outdated information; References deprecated technology versions: java 7, java 8",how-to; azure app service on linux; dotnet; spring boot; azure app service on windows; azure sdk; java,,java 7; java 8,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 7 to 21; Consider updating java 8 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5854,True,True
2020-03-25-docker-run-fails-with-standard-init-linux-error.md,Docker run fails with standard_init_linux.go error,Christopher Maldonado,2020-03-25,5.4,outdated,"Post is 5.4 years old, likely contains outdated information",azure app service on linux; standard_init_linux; docker; error; troubleshooting,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1443,True,True
2020-03-30-Redirect-the-.azurewebsites.net-domain-to-your-custom-domin-with-Nginx.md,Redirect azurewebsites.net to your custom domain,Kendrick Dubuisson,2020-03-30,5.4,outdated,"Post is 5.4 years old, likely contains outdated information",how-to; configuration; azure app service on linux; dotnet; linux; redirect; nginx; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2308,True,True
2020-03-31-Configuring-Nginx-docker-image-for-VNET-Integration.md,Configuring a Nginx image for VNET Integration on Azure,Kendrick Dubuisson,2020-03-31,5.4,outdated,"Post is 5.4 years old, likely contains outdated information",how-to; vnet integration; configuration; azure app service on linux; dotnet; linux; nginx; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3669,True,True
2020-04-30-run-production-build-on-app-service-linux.md,Running Production Build Nodejs Apps on App Service Linux,Toan Nguyen,2020-04-30,5.3,outdated,"Post is 5.3 years old, likely contains outdated information",how-to; reactjs; configuration; azure app service on linux; startup; angular; nodejs; expressjs,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1554,False,True
2020-05-05-debugging-php-application-on-azure-app-service-linux.md,Debugging PHP Applications on Azure App Services Linux/Containers using XDEBUG,Christopher Maldonado,2020-05-05,5.3,outdated,"Post is 5.3 years old, likely contains outdated information; References deprecated technology versions: php 5.",azure app service on linux; dotnet; xdebug; docker; php; troubleshooting,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,9393,True,True
2020-07-24-Run-WordPress-in-subfolder-or-Virtual-Directory.md,Run WordPress in subfolder or Virtual Directory on Azure App Service,Anand Anthony Francis,2020-07-24,5.1,outdated,"Post is 5.1 years old, likely contains outdated information",how-to; virtual directory; wordpress; dotnet; azure app service on windows; subdirectory; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,8780,True,True
2020-07-25-Connecting-to-Storage-Account-having-a-Private-Endpoint.md,Access an Azure Storage Account having a Private endpoint via an App Service,Anand Anthony Francis,2020-07-25,5.1,outdated,"Post is 5.1 years old, likely contains outdated information",how-to; python; azure app service on linux; private endpoint; app service - linux; storage account,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2075,True,True
2020-07-25-HTTP-431s-on-Azure-App-Services-Linux.md,HTTP 431s on Azure App Services - Linux,Anand Anthony Francis,2020-07-25,5.1,outdated,"Post is 5.1 years old, likely contains outdated information",request header fields too large; azure app service on linux; diagnostics; http 431; docker; nodejs; app service linux,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1457,False,False
2020-08-07-wordpress-best-practices-for-performance.md,WordPress Best Practices for Performance,Christopher Maldonado,2020-08-07,5.1,outdated,"Post is 5.1 years old, likely contains outdated information; References deprecated technology versions: php 7.0",how-to; wordpress; azure app service on linux; dotnet; performance; best practices; app services; azure; php; docker,,php 7.0,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 7.0 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,13508,True,True
2020-08-07-wordpress-migration-plan-to-azure.md,WordPress Migration Plan to Azure App Services,Christopher Maldonado,2020-08-07,5.1,outdated,"Post is 5.1 years old, likely contains outdated information",how-to; wordpress; azure app service on linux; migration; app services; azure; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,9954,True,True
2020-08-24-Troubleshoot-Hybrid-Connection-Issues.md,Troubleshoot Hybrid Connection Issues - Windows/Linux,Anand Anthony Francis,2020-08-24,5.0,outdated,"Post is 5.0 years old, likely contains outdated information",hybrid connections; hybrid; how-to; configuration; azure app service on linux; troubleshooting hybrid connections; dotnet; diagnostics; azure app service on windows; azure hybrid connection; azure hybrid connections; troubleshooting,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,8199,True,True
2020-09-15-unable-to-download-static-content-php-on-azure-app-service-linux.md,Unable to download static content when using php images on Azure App Service - Linux,Srikanth Sureddy,2020-09-15,5.0,outdated,"Post is 5.0 years old, may need updates; References deprecated technology versions: php 7.2, php 7.3, php 7.4",how-to; any framework based on php 7.2 or 7.3 or 7.4 images; configuration; azure app service on linux; dotnet; static content; php 7.2/7.3/7.4; azure app service linux; php,,php 7.2; php 7.3; php 7.4,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 7.2 to 8.3; Consider updating php 7.3 to 8.3; Consider updating php 7.4 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5907,True,True
2020-11-06-Troubleshoot-Dotnet-Core-on-App-Services-Linux.md,Troubleshoot .NET Core Applications on App Services - Linux,Anand Anthony Francis,2020-11-06,4.8,update_required,"Post is 4.8 years old, may need updates",how-to; .net core; azure app service on linux; dotnet; linux; dotnet core; docker; azure app service; troubleshooting dotnet core on linux; dotnet core on linux; troubleshooting,,,Review and update technical details for current best practices; Verify all links and references are still valid; Test any code examples with current versions; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,6939,True,True
2021-01-05-Deployment-and-Configuration-App-Service-Linux.md,Deployment and Configuration - App Service Linux,Abhilash Konnur,2021-01-05,4.7,update_required,"Post is 4.7 years old, may need updates",how-to; configuration; azure app service on linux; dotnet; docker; deployment; nodejs; java; app service linux,,,Review and update technical details for current best practices; Verify all links and references are still valid; Test any code examples with current versions; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4846,True,True
2021-01-28-aks-acr-private.md,AKS deployment with ACR public endpoint disabled,Christopher Maldonado,2021-01-28,4.6,update_required,"Post is 4.6 years old, may need updates",how-to; kubernetes; container registry; azure kubernetes service; aks; azure; docker,,,Review and update technical details for current best practices; Verify all links and references are still valid; Test any code examples with current versions; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,11088,False,True
2021-01-28-wordpress-best-practices-for-security.md,WordPress Best Practices for Security,Christopher Maldonado,2021-01-28,4.6,update_required,"Post is 4.6 years old, may need updates",how-to; wordpress; azure app service on linux; dotnet; best practices; security; app services; azure; php,,,Review and update technical details for current best practices; Verify all links and references are still valid; Test any code examples with current versions; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,11389,False,True
2021-02-03-Loading-certificates-using-nodejs.md,Loading and accessing certificates in node.js on Azure App Service,Karthik,2021-02-03,4.6,update_required,"Post is 4.6 years old, may need updates",azure function app; how-to; certificate; node.js; azure app service; nodejs; docker,,,Review and update technical details for current best practices; Verify all links and references are still valid; Test any code examples with current versions; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2029,True,True
